iter	Passed	Remaining
0	146	29242
1	150	14947
2	156	10255
3	160	7876
4	166	6475
5	170	5499
6	173	4789
7	177	4250
8	180	3835
9	184	3498
10	187	3217
11	190	2984
12	193	2778
13	195	2602
14	198	2447
15	201	2314
16	203	2194
17	206	2084
18	208	1986
19	210	1898
20	213	1819
21	217	1758
22	220	1695
23	222	1634
24	225	1581
25	230	1540
26	234	1500
27	244	1500
28	250	1478
29	253	1433
30	255	1390
31	257	1350
32	260	1318
33	264	1291
34	269	1270
35	273	1247
36	279	1229
37	283	1209
38	291	1202
39	295	1180
40	303	1176
41	311	1170
42	316	1155
43	321	1140
44	325	1122
45	331	1109
46	334	1089
47	340	1076
48	344	1063
49	347	1043
50	349	1022
51	351	1001
52	353	981
53	357	965
54	361	954
55	365	939
56	369	926
57	371	910
58	376	898
59	379	884
60	385	877
61	389	867
62	393	856
63	396	842
64	400	831
65	403	818
66	407	809
67	412	801
68	416	790
69	419	779
70	422	767
71	425	757
72	429	747
73	433	738
74	437	729
75	441	719
76	444	710
77	447	699
78	449	688
79	451	677
80	456	670
81	460	662
82	464	655
83	470	649
84	475	642
85	479	635
86	483	627
87	487	619
88	490	612
89	495	605
90	499	598
91	503	591
92	507	583
93	511	577
94	515	569
95	519	562
96	523	555
97	527	548
98	531	541
99	534	534
100	538	527
101	542	521
102	547	515
103	550	508
104	552	500
105	555	492
106	559	485
107	563	480
108	567	473
109	570	466
110	574	460
111	577	453
112	579	446
113	581	438
114	583	431
115	587	425
116	590	419
117	594	412
118	597	406
119	600	400
120	604	394
121	608	388
122	610	382
123	613	375
124	615	369
125	618	363
126	622	357
127	625	351
128	627	345
129	632	340
130	635	334
131	638	328
132	640	322
133	642	316
134	645	310
135	648	305
136	651	299
137	654	293
138	656	288
139	659	282
140	661	276
141	664	271
142	669	266
143	674	262
144	677	256
145	679	251
146	682	246
147	685	240
148	688	235
149	692	230
150	694	225
151	698	220
152	701	215
153	704	210
154	707	205
155	710	200
156	713	195
157	717	190
158	720	185
159	722	180
160	725	175
161	727	170
162	730	165
163	732	160
164	735	156
165	737	151
166	739	146
167	742	141
168	744	136
169	746	131
170	749	127
171	751	122
172	753	117
173	755	112
174	758	108
175	761	103
176	764	99
177	766	94
178	768	90
179	771	85
180	773	81
181	776	76
182	779	72
183	782	68
184	786	63
185	789	59
186	792	55
187	794	50
188	796	46
189	798	42
190	801	37
191	803	33
192	806	29
193	808	24
194	810	20
195	812	16
196	815	12
197	817	8
198	820	4
199	822	0
